status	baseline_path	current_path	baseline_sha256	current_sha256
ADDED		docs/platform/intelligence/IP-11-PRIVACY-SECURITY-RETENTION-AND-OBSERVABILITY.md		4088d82f01527b62595e4e8fbe94e6ad1c7b3b9ddc5130626bd725ae1ea5889a
ADDED		docs/platform/intelligence/IP-11-PRODUCTION-SHADOW-ACTIVATION-GOVERNANCE-CONTRACT.md		e7e27ede6befc39e2892266fff836af1a14b96478329ee6d75d41ea6e69fb165
ADDED		docs/platform/intelligence/IP-11-PRODUCTION-SHADOW-OWNER-DECISION-PACKET.md		2f93025ad0fb6df7b2e711f338243d293ce022b8d3519e7dd652fa34c7b186f8
ADDED		docs/platform/intelligence/IP-11-RACI-AND-OPERATING-AUTHORITY.md		3a74c08059c2a31c06eb6893c9ef154c95b580d2c9212e1e40b31d2e7c50442a
ADDED		docs/platform/intelligence/IP-11-RUNTIME-INPUT-RESOURCE-AND-SAMPLING-BUDGET.md		c5784f37023c3d9d7589d4566fdb5c64f75b97d1181194e9d91a1d628621cdfc
ADDED		docs/platform/intelligence/IP-11-VERIFICATION-AND-SELF-REVIEW.md		b91192131d2eaf16ef79becd47c79c85ae0bb0eea9b07bad790392d718440af6
ADDED		verification/ip11/IP11_ACTUAL_SOURCE_INVENTORY.txt		d24faaeda9664e091d0a2974162225c1f2984224f71078364aa04b5d125e3bf9
ADDED		verification/ip11/IP11_BACKEND_PROTECTED_CURRENT_SHA256.txt		5e451f0ace43e4c238d1cd3765758acb69666cd278b21ca866957211aa406544
ADDED		verification/ip11/IP11_BACKEND_PROTECTED_EXPECTED_SHA256.txt		5e451f0ace43e4c238d1cd3765758acb69666cd278b21ca866957211aa406544
ADDED		verification/ip11/IP11_BACKEND_PROTECTED_RESULT.txt		244b5c26eacfdb7ecff2dd4a2fb87404dc45f3f267a1ff65b15bca0c5e9fb1ab
ADDED		verification/ip11/IP11_BASELINE_SHA256.txt		b1ed2c844a2b4e7be55cce268a4e9c29c1fa9cda5b0946a153c58f185cf33af9
ADDED		verification/ip11/IP11_BUILD_LOGIC_CURRENT_SHA256.txt		8d2522929c19b61c84601710765b6f1100ac72c38b91b310085f275557ac1dc2
ADDED		verification/ip11/IP11_BUILD_LOGIC_EXPECTED_SHA256.txt		8d2522929c19b61c84601710765b6f1100ac72c38b91b310085f275557ac1dc2
ADDED		verification/ip11/IP11_BUILD_LOGIC_RESULT.txt		599369df856a9615663feda24dcfad3b71bb182d171cfcf837218c6726f55cff
ADDED		verification/ip11/IP11_DECISION_REGISTER.tsv		cfbdee280b568ebe5905189e0d2cb9077adf7ec7dd23c369dbb39b7a70682108
ADDED		verification/ip11/IP11_DOCUMENT_MANIFEST_SHA256.txt		c78fa94c89a43ce395cb9244b1a31a3e020463ca21c27ed98abfacd58a76f2c0
ADDED		verification/ip11/IP11_EXTERNAL_ATTESTATION_STATUS.txt		324156afdd8e264e12663ad8292d1798e6413e4af6f5cb27a0528ca28d06f4ea
ADDED		verification/ip11/IP11_GO_NO_GO_MATRIX.tsv		ff2b710b12012bdf38f3a8d22af1ca2e39d42b5b6f7751a42b71be2aaba15144
ADDED		verification/ip11/IP11_HISTORICAL_MANIFEST_PATH_NOTE.txt		dafbc29aca5465263d2cc4ad26e30f8c20198f88c4e4773dfdd94fda1e8eb212
ADDED		verification/ip11/IP11_OPEN_BLOCKERS.tsv		fdd9111657d32279f7a2f69db67bb9ca04628075fdf19b02bd1c3a561bc34a13
ADDED		verification/ip11/IP11_PACKAGE_COMPATIBILITY_REPORT.txt		8c478fea79d717e501c7ac0cc9a18da6d826586b46cfbfe57bb82ab791ceb53b
ADDED		verification/ip11/IP11_PATH_RENAME_MAP.tsv		791b6a245965ce4ca0d096887e9a1118537e443387ee0aa436f856211cf0696c
ADDED		verification/ip11/IP11_PRODUCTION_CONFIG_CURRENT_SHA256.txt		856d71e0cfceaac442b7d379e63812d4edf75ce10f2a09c06b861bcb1a824083
ADDED		verification/ip11/IP11_PRODUCTION_CONFIG_EXPECTED_SHA256.txt		856d71e0cfceaac442b7d379e63812d4edf75ce10f2a09c06b861bcb1a824083
ADDED		verification/ip11/IP11_PRODUCTION_CONFIG_RESULT.txt		58552b9540bc96c4f5b7049aa371c9f306525e695686d683e840e12e96344572
ADDED		verification/ip11/IP11_PRODUCTION_NO_CHANGE_RESULT.txt		c01e3420209fadc000790ad9e3e0a5da2bd52befc7fd1908d942b06d46b2517a
ADDED		verification/ip11/IP11_PRODUCTION_SOURCE_CURRENT_SHA256.txt		2dbd57faa7b1b74a42a194d3363f448bf2a8e090482997048859bb86eacf07ee
ADDED		verification/ip11/IP11_PRODUCTION_SOURCE_EXPECTED_SHA256.txt		2dbd57faa7b1b74a42a194d3363f448bf2a8e090482997048859bb86eacf07ee
ADDED		verification/ip11/IP11_PRODUCTION_SOURCE_RESULT.txt		d3b58f7a3fb01cce8d54eeccc40ca6c79decca6c4ba83f30fa3fe6d1d8dba5d9
ADDED		verification/ip11/IP11_PROTECTED_SOURCE_CURRENT_SHA256.txt		31d9189634cff471342ac9cf933071762c338088221a15cfd120129848d335a4
ADDED		verification/ip11/IP11_PROTECTED_SOURCE_EXPECTED_SHA256.txt		31d9189634cff471342ac9cf933071762c338088221a15cfd120129848d335a4
ADDED		verification/ip11/IP11_PROTECTED_SOURCE_RESULT.txt		63554a329077948ddb1bf4f77f4eb0e70967ad275df1d8b2155c126c36c9cba7
ADDED		verification/ip11/IP11_RACI_MATRIX.tsv		7fc4ceaa2ec731788fa5fb62f989e89a47482162dd6a9f2fe827e4024539a156
ADDED		verification/ip11/IP11_SELF_REVIEW_1.log		c93be4b6fd4f89f5e41fe9479a7b934a47c38caed1d7bb9ecb238ecd3eaf6aee
ADDED		verification/ip11/IP11_SELF_REVIEW_2.log		146e0519b09061cd8dda47a9c4319e1cefd150390c0a437c60e162ea1b1f4ec9
ADDED		verification/ip11/IP11_SELF_REVIEW_3.log		8d60f072fa78b45b916c6abc1a2ccac123d127844a40652972ca7948e63967a4
ADDED		verification/ip11/IP11_SOURCE_ONLY_DIFF.tsv		3d88d27e4ce25e606406376e835bd520007561d8fca684ccc58a6e1a2288096b
ADDED		verification/ip11/IP11_SOURCE_ONLY_DIFF_RESULT.txt		f35b19d543e6a4a43b0a76f2eb2bfd2a8c48a30ed05d9076087d2e60f503d5ec
ADDED		verification/ip11/IP11_SQL_01_26_CURRENT_SHA256.txt		c1cddb1e6d4f952657a24ad76d1a61756abafc07bd75fbaab2fbbc090507f507
ADDED		verification/ip11/IP11_SQL_01_26_EXPECTED_SHA256.txt		c1cddb1e6d4f952657a24ad76d1a61756abafc07bd75fbaab2fbbc090507f507
ADDED		verification/ip11/IP11_SQL_01_26_RESULT.txt		33ba69fca2c534495f2cede3a797a76004e61933c603d16a6e6809c37f8f6d13
ADDED		verification/ip11/IP11_STATIC_VERIFICATION.log		bee080d36025538fcaadd7e6089b71bc3c46a79faf4609fa6362456eb40dfe62
ADDED		verification/ip11/IP11_VERIFICATION_SUMMARY.md		c437ea97ae99e719b599c6160d6cb872a73ccd4fe5e6a38544412bfa46d72801
ADDED		verification/ip11/IP11_WINDOWS_EXPLORER_7ZIP_STATUS.txt		a69b987306a1c6260bf89c1021e672d9d425d1e723a58bc0feb73bdf5573de86
ADDED		verification/ip11/VERIFY_WINDOWS_EXPLORER_AND_7ZIP.ps1		ce5d6fa26c9481fc6dfc53ce64cf77b9198d409384f5d43970cfc3fe93203bbd
ADDED		verification/ip11/run_ip11_static_verification.py		dfe34031460e981cfeac12d1783ab32af7ac7f49ef8de52fe37cfdd413afbe5d
MODIFIED	docs/platform/intelligence/README.md	docs/platform/intelligence/README.md	bde5435119bfb617af2879b10a70fbada5de666540596c5c00b4e85d423db55a	0468345c7a971e25cc38228d5fd1eff2b571924933f2e9e9b8e798428076f235
