path	status	baseline_sha256	current_sha256
verification/ip11-75/IP1175_BASELINE_SHA256.txt	ADDED		52537cd85ca93ec431cc3b1944704df6276a6def6c1577fe2964fedc5f307bcf
verification/ip11-75/IP1175_DECISION_REGISTER.tsv	ADDED		e2c7e4e30cce6af5c632fade77f94d312570bb93e1c36114b9c63c04eaaee676
verification/ip11-75/IP1175_DOCUMENT_LINK_CHECK.txt	ADDED		b6f0389cbcedf6e5105fb16ff83ec9e9bc09d9a66eb4cc4396abef8e1e807062
verification/ip11-75/IP1175_DUPLICATE_DECISION_ID_CHECK.txt	ADDED		9bbfe0d0a981abcf4a097217fcf5523a682b9b85fa44fd553aa40f62a9b28402
verification/ip11-75/IP1175_GO_NO_GO_MATRIX.tsv	ADDED		130d56b84ce6af4fcf010a11ca564acdabcef81e670b4e3676086899fdc2d994
verification/ip11-75/IP1175_GRADLE_BUILD_LOGIC_MANIFEST.tsv	ADDED		caae967bedfa05c9257223ca32c9823bb89470951278530373190bb47c3aab86
verification/ip11-75/IP1175_GRADLE_BUILD_LOGIC_NO_CHANGE.txt	ADDED		19c9d57e017a4a4538fc5674abc500564b22a868746c02791a5ae34394d6a0f2
verification/ip11-75/IP1175_HANDOFF_SUMMARY.txt	ADDED		0afa732755cf196b76053e5929002c40d1e3bcede2210ecbf37b07fd5f026e74
verification/ip11-75/IP1175_JUNIT_AND_DB_STATUS.txt	ADDED		27adce43df1a44f94864da678587f89b43be85661977d8ed7271794722659df3
verification/ip11-75/IP1175_OWNER_ASSIGNMENT_CHECK.txt	ADDED		e6bf0716b36eefd382ff83cd8a5aac95c22f84e63b9ca936284baf8cfbe5b1f8
verification/ip11-75/IP1175_PACKAGE_COMPATIBILITY_REPORT.txt	ADDED		e9f8fd3725c99c6aebf9f8bd5174a9904afc1fa17dbb04ddb783f3acb056773f
verification/ip11-75/IP1175_PRODUCTION_CONFIG_MANIFEST.tsv	ADDED		e8e7a28ffeee71d40e908025648193f3d903229fc5c76e9ea2322d4fef55576e
verification/ip11-75/IP1175_PRODUCTION_CONFIG_NO_CHANGE.txt	ADDED		90a53f26f5ca97c53a7b8eeff3d7f9c40ccce051c6cd4b95e4c05f48cec3f714
verification/ip11-75/IP1175_PRODUCTION_SOURCE_MANIFEST.tsv	ADDED		6ea642d9277c2f8f40c2a7e03bd766c00991269b7d1ea52903c8e077b78cac39
verification/ip11-75/IP1175_PRODUCTION_SOURCE_NO_CHANGE.txt	ADDED		d80fe00212ee41395c92dc09edfee659f34047e4bfe24bf58993f2b2d50f3e42
verification/ip11-75/IP1175_PROTECTED_SOURCE_RESULT.tsv	ADDED		95a6a122191b7f654b42d9085002bc22c4ac2b08c9160595b26373945690138f
verification/ip11-75/IP1175_PROTECTED_SOURCE_RESULT.txt	ADDED		1c749b498db76dad4b99e53fcf6f80326e569b3dcb3dd0821cca01ccde90d92c
verification/ip11-75/IP1175_RACI_MATRIX.tsv	ADDED		fbcd0d3c98e949bbbcd69e583085b8465a9676a4a44b692d7a7469fb8598854e
verification/ip11-75/IP1175_RESOURCE_BUDGET_CHECK.txt	ADDED		aceac1720bca0defed2358e39109c3c97cb39920ecb887211399ee371aabd764
verification/ip11-75/IP1175_RETENTION_POLICY_CHECK.txt	ADDED		dcce76b6bf50552a4dd4d8679ffb9f9fa34dd7384ad4e47ca5f6ed3ecb7a9055
verification/ip11-75/IP1175_SELF_REVIEW_1.md	ADDED		f8ce55c542531dd7b66dac93531549806b9df50b7fa9cf122089d7097c417d72
verification/ip11-75/IP1175_SELF_REVIEW_2.md	ADDED		d87efc39c2f582db0b8129eac534c930c8cc1ec0d221b212a17c6155efc4e3bb
verification/ip11-75/IP1175_SELF_REVIEW_3.md	ADDED		d5c8f04714d69f4a6158d985da8578f4719357272c8aff8e545b1e49b4a55d43
verification/ip11-75/IP1175_SQL_01_26_MANIFEST.tsv	ADDED		8c28fa4e5d331763d2272f813fbe967d834496914d9e8310cb8fbb5a658bba8b
verification/ip11-75/IP1175_SQL_01_28_MANIFEST.tsv	ADDED		29205d55d9006e64f4498e60a6f5170c738c900e1632a525b6c9cbfd0cf15359
verification/ip11-75/IP1175_SQL_01_28_NO_CHANGE.txt	ADDED		63a1f1ea00d52b6b9fba8d01cfa527cff7d8c673d4d85047c6d4eb3b5dd2a89f
verification/ip11-75/IP1175_SQL_27_28_MANIFEST.tsv	ADDED		45315b0223e6c05de9190647443c7a22d8becf265fa7081288dcb532fb7778fb
verification/ip11-75/IP1175_STATIC_VERIFICATION.log	ADDED		71e2d0be43eef4886a72e78b3aa40e77f8331b653ab9173a232d15ff812188cd
verification/ip11-75/IP1175_ZIP_REEXTRACT_VERIFICATION.log	ADDED		718b72b2cecc5208f9a26825edff36e0785fb1034512effe103c28d40871b3f9
verification/ip11-75/VERIFY_WINDOWS_EXPLORER_AND_7ZIP.ps1	ADDED		735cf5d25552b9b58b79d77a9d320d1a6d77f62da5fc5b214d3e6916e5aab7e7
verification/ip11-75/run_ip1175_static_verification.py	ADDED		671282ab736cc55d02a9ae04cc7c6700bb6fe6119294a0446521ac25c028ba6d
verification/ip11/IP11_DECISION_REGISTER.tsv	MODIFIED	102e35cde875da42554e4411c9c41c84bc25c718db86a80daca354599e961b29	e2c7e4e30cce6af5c632fade77f94d312570bb93e1c36114b9c63c04eaaee676
verification/ip11/IP11_GO_NO_GO_MATRIX.tsv	MODIFIED	ff2b710b12012bdf38f3a8d22af1ca2e39d42b5b6f7751a42b71be2aaba15144	130d56b84ce6af4fcf010a11ca564acdabcef81e670b4e3676086899fdc2d994
verification/ip11/IP11_RACI_MATRIX.tsv	MODIFIED	7fc4ceaa2ec731788fa5fb62f989e89a47482162dd6a9f2fe827e4024539a156	fbcd0d3c98e949bbbcd69e583085b8465a9676a4a44b692d7a7469fb8598854e
